theta, Z0, Z1, Z0Z1
-3.14159265359, -1.0, 1.0, -1.0
-3.07812613534, -0.997986676472, 0.997986676472, -1.0
-3.01465961708, -0.991954812831, 0.991954812831, -1.0
-2.95119309883, -0.981928697263, 0.981928697263, -1.0
-2.88772658057, -0.967948701396, 0.967948701396, -1.0
-2.82426006232, -0.950071117741, 0.950071117741, -1.0
-2.76079354406, -0.928367933016, 0.928367933016, -1.0
-2.69732702581, -0.902926538287, 0.902926538287, -1.0
-2.63386050756, -0.87384937707, 0.87384937707, -1.0
-2.5703939893, -0.841253532831, 0.841253532831, -1.0
-2.50692747105, -0.805270257531, 0.805270257531, -1.0
-2.44346095279, -0.766044443119, 0.766044443119, -1.0
-2.37999443454, -0.723734038105, 0.723734038105, -1.0
-2.31652791628, -0.678509411557, 0.678509411557, -1.0
-2.25306139803, -0.630552667085, 0.630552667085, -1.0
-2.18959487977, -0.580056909571, 0.580056909571, -1.0
-2.12612836152, -0.527225467611, 0.527225467611, -1.0
-2.06266184327, -0.472271074773, 0.472271074773, -1.0
-1.99919532501, -0.415415013002, 0.415415013002, -1.0
-1.93572880676, -0.356886221592, 0.356886221592, -1.0
-1.8722622885, -0.296920375328, 0.296920375328, -1.0
-1.80879577025, -0.235758935509, 0.235758935509, -1.0
-1.74532925199, -0.173648177667, 0.173648177667, -1.0
-1.68186273374, -0.110838199901, 0.110838199901, -1.0
-1.61839621549, -0.0475819158237, 0.0475819158237, -1.0
-1.55492969723, 0.0158659638348, -0.0158659638348, -1.0
-1.49146317898, 0.0792499568568, -0.0792499568568, -1.0
-1.42799666072, 0.142314838273, -0.142314838273, -1.0
-1.36453014247, 0.204806668065, -0.204806668065, -1.0
-1.30106362421, 0.26647381369, -0.26647381369, -1.0
-1.23759710596, 0.327067963317, -0.327067963317, -1.0
-1.17413058771, 0.386345125693, -0.386345125693, -1.0
-1.11066406945, 0.444066612606, -0.444066612606, -1.0
-1.0471975512, 0.5, -0.5, -1.0
-0.983731032942, 0.553920063866, -0.553920063866, -1.0
-0.920264514688, 0.605609687138, -0.605609687138, -1.0
-0.856797996434, 0.654860733945, -0.654860733945, -1.0
-0.793331478179, 0.701474887706, -0.701474887706, -1.0
-0.729864959925, 0.745264449676, -0.745264449676, -1.0
-0.666398441671, 0.786053094743, -0.786053094743, -1.0
-0.602931923416, 0.82367658143, -0.82367658143, -1.0
-0.539465405162, 0.857983413235, -0.857983413235, -1.0
-0.475998886908, 0.888835448655, -0.888835448655, -1.0
-0.412532368653, 0.916108457432, -0.916108457432, -1.0
-0.349065850399, 0.939692620786, -0.939692620786, -1.0
-0.285599332145, 0.959492973614, -0.959492973614, -1.0
-0.22213281389, 0.975429786885, -0.975429786885, -1.0
-0.158666295636, 0.987438888676, -0.987438888676, -1.0
-0.0951997773815, 0.995471922573, -0.995471922573, -1.0
-0.0317332591272, 0.999496542383, -0.999496542383, -1.0
0.0317332591272, 0.999496542383, -0.999496542383, -1.0
0.0951997773815, 0.995471922573, -0.995471922573, -1.0
0.158666295636, 0.987438888676, -0.987438888676, -1.0
0.22213281389, 0.975429786885, -0.975429786885, -1.0
0.285599332145, 0.959492973614, -0.959492973614, -1.0
